,funny,useful,review_id,text,business_id,stars,date,user_id,cool,datetime
1221,0,0,ocSqBASPfBlR35A-eoBAHw,"Hands down great guys, we have relocated to the area and have older cars. With that age comes quirks, I great appreciate their honesty, hard work and communication of the situation at hand.  Attention to detail is never messed and I highly recommend this shop for any service needs.",zXnFTbBeqWP8A3YvmFme-Q,5.0,2016-03-17 15:45:13,xZ21knxEvAXP7wzX_4Rd9Q,0,2016-03-17 15:45:13
4473,0,1,Cu3bZBgQG2viNejvc3GdBg,"What a great place to find exactly what you need at any price.  Sadly, there are so few places left like this; a great small business with caring, helpful staff.  I went in looking for a gift for someone special for a big birthday, but not sure WHAT I wanted. Becky helped me, patiently, pick out the perfect gift at a lower price than I expected to pay.  Looking forward to getting back there for something for myself!",WZyr0I40FCeRnx3FOMmRsg,4.0,2015-01-03 22:13:40,-eLiFAGp94Q8SccTOq2zgQ,2,2015-01-03 22:13:40
5932,0,3,ySZ64iSAIYad_ENLTV4JtA,"I've tried their St. Louis cut Ribs, Smoked Chicken, and the Brisket. All are outstanding! Sweet Potato Fries and Cornbread are great! Going back for some Baby Backs and MacNCheese soon.",zhLv02GHgcHl0KPzA8UF1g,5.0,2013-11-14 11:36:38,CRF3730vYP_hKwBdX8ldag,0,2013-11-14 11:36:38
7122,1,1,_hZxeHqa6nZW5JXTeuOrxg,"Let's start with my first impression ... it wasn't great.

On the door walking in there are images of the credit cards they accept but when you walk to the counter there is a hand written sign that says something to the effect of we do not accept credit cards use the ATM next door. 

I told my husband we would need to go elsewhere to eat then. At this point some guy came up to take our order, we commented on the credit card thing and he gave ranted at us for a good while about giving away money because the rate was 3.69% per sale and he cant afford to pay it and the electric and this and that. Like ok whatever dude, you're in business as is the bank you agreed to their terms and conditions when you had it installed to run your business. 

He then handed us a menu and said we could order it off of the web from foodcab.net.

At this point I was pretty much over this guys bad attitude and wanted to just walk out of there but my husband was pretty upset as he really wanted BBQ so we ordered off line from the foodcab.net since we could use our credit card. 

When we finally got the food to us it was bland and dry. even my cat turned her nose up too it. The corn bread was less like a side dish and more like a dessert. 

I physically feel ill after eating this slop as does my husband.",zhLv02GHgcHl0KPzA8UF1g,1.0,2014-10-11 22:06:37,rR2W2w4EwJqtwOL8nMZIig,0,2014-10-11 22:06:37
9536,0,2,6H4lSOiBmO2ljHekAmRifg,"Yesterday was my first experience at Thai Thanee.  The space was large and inviting.  As far as I could tell, there was only one waitress, but she was personable, attentive and fast.  

The chicken satay ranks among the best that I've EVER had, moist tender and very flavorful.  The basil with chicken was very good, even if not quite as spicy as I would have liked.  All in all the experience was very good.  I'll definitely be back to sample more of their menu...",pQ0WQwBPdpngQi_HdPYIag,4.0,2010-07-07 18:01:15,NINMD52lJSzw3XrD_fbBHw,0,2010-07-07 18:01:15
10886,0,1,ImsibThFiiO-Ed1KYh4sEA,Just left there...horrible service and miserable employees.  WILL NEVER GO THERE AGAIN. Miss Baja fresh.,F-eHPbdh9bl8aeYDRws4BQ,1.0,2015-01-19 00:57:56,P--KsEFvIXZ0XDIZk87IAw,0,2015-01-19 00:57:56
12040,0,0,BIHgxAAUBhCKJaE5uukFTA,"I am young, female, and clueless about cars, making me (as others have said) a target for mechanics to unnecessarily sell me on things. At STS, I feel so comfortable. The guys are all honest, courteous, and most importantly, care about their customers. They (attempt) to get me to understand what's going on with my car and work is done in a timely matter. There are many car places within walking distance of my home, but I choose to drive the extra 15 minutes to STS. Also, they always let me know of coupons or mail-in rebates for services. I can't say enough great things.",zXnFTbBeqWP8A3YvmFme-Q,5.0,2014-04-19 16:01:10,iKK0ROtVBGFWS656C6Aznw,0,2014-04-19 16:01:10
12511,0,0,zmlpj-ZKig2OwCFKkXa4bQ,"After going back several times, I really feel that this is one of the better Thai restaurants.  It's clean, the service is great, the food comes out fast,  and the dishes tastes good.  If I want to introduce someone to Thai food, I would take them here.  We keep coming back!",pQ0WQwBPdpngQi_HdPYIag,5.0,2010-08-22 07:00:22,LlLNWV5FmKvjOj0p5qGYeg,0,2010-08-22 07:00:22
15151,0,2,WbfVEWZGtzS3fMAIvI0Kwg,"Finally a local barbecue master with a genuine passion for getting it right. The brisket is to die for... Melt in your mouth slice of heaven made right in Roslyn!!!

Mike knows how to make barbecue pork,ribs,chicken,brisket and cornbread like he grew up in the Deep South where this kind of cooking is religion. Guy Fieri would be calling this joint; ""winner, winner chicken dinner"" 

Take out or eat in bring your appetite to try the brisket sloo-ow cooked for 19 hours at 190 degrees the best in the area.  Get in early because he sells out. You don't want to settle for a McRib sandwich!!!",zhLv02GHgcHl0KPzA8UF1g,5.0,2014-03-14 13:27:01,lHOyZpIYhnFqV_blB8Q4bA,0,2014-03-14 13:27:01
15254,1,0,bOf0KBqlB22-KUn9mGaLCg,"First time here. Had their special of the day which was a brisket/pork/chicken cheese'steak.' Very good! It came as a combo with fries (very good, had salt and pepper on them) and a soda for $12.50. I also had some of their sweet BBQ sauce which was great.
Overall a good experience and the owner was very nice!",zhLv02GHgcHl0KPzA8UF1g,4.0,2017-04-20 17:56:33,aojkXaNwpxU8-5YfBTKBOw,0,2017-04-20 17:56:33
