,funny,useful,review_id,text,business_id,stars,date,user_id,cool,datetime
3521902,0,1,pERSWwzy_t1kqEVcNtHB0Q,"Drove 45 minutes to this center because there were no appointments at my local center.  The first person you meet when you enter is a moron.  There were absolutely no signs directing you  to the drivers test area.  We had to walk inside, where he told us to drive up the ramp at the end of the building and look for the test administrator standing on the concrete.  We did so three times and never saw the guy.  Fifteen minutes later we spotted another employee walking outside who pointed to the correct area of the parking lot where there were a few cones and concrete barriers.  Why didn't the guy inside just say that?  You don't go up the ramp - you basically follow the parking lot around!  The test administrator was nice enough, except that he complained that he didn't have room to get out of the car where he told my son to park.  Inside, my 16 year old was met with rudeness and scolding for not knowing his social security number.  What 16 year old does?  All in all, the same old DMV experience.  A bunch of  state employees who treat you like crap because there's not a darn thing you can do about it!  If you want your license, you're at their mercy.",pn3NGJP8X6SqWQAiN7DM5w,2.0,2016-08-26 20:43:02,igHHqPyjiF25Ee3fUkrLMQ,0,2016-08-26 20:43:02
3527736,2,2,erg8UpED3sXmTZuyMfnQyQ,"Waste of an afternoon.  They were supposed to be open until 4:15 PM today, according to the PennDOT website.  I showed up at 2 PM, to be greeted by a chained gate with a ""Closed"" sign on the front.  The place was deserted.  Not enough time to go to to the Philly DMV now, guess I know what I'm doing next weekend.",pn3NGJP8X6SqWQAiN7DM5w,1.0,2014-01-18 20:55:53,wMuXkgV1N2xlJvgt1O1CuA,1,2014-01-18 20:55:53
3549142,0,1,ye8I34T1G4xiLQW0agpCvg,"Just got my license from here and the guy that took my test was awesome! He called me ""sir"" the whole time and also taught me some new skills Great place!",pn3NGJP8X6SqWQAiN7DM5w,5.0,2015-09-02 14:46:19,TELY1zc1SNitDOURMviEnw,0,2015-09-02 14:46:19
3554862,0,0,c7O6JXG_Tu3pd1c-hTkAyQ,"I failed the parallel parking section of the driving test at the Malvern DMV so I came here to try again! My instructor was very polite and not creepy and I felt very at ease taking the test! When I went inside to get my license, the woman working at the photo desk was really nice and congratulated me! I had a good experience here, 10/10, would recommend!",pn3NGJP8X6SqWQAiN7DM5w,5.0,2016-09-09 00:49:58,bEpv9Z_omwJhlmgaHe7wsg,0,2016-09-09 00:49:58
3559954,0,5,0P2C4Wmw5QgH0rNUdgr67Q,"Have come here every time I had to deal with anything license related. The employees try to stay positive and work had to keep the lines as short as they can. I've been to places in New Jersey, and they were hell compared to this place. So, all in all, for being a dreaded DMV, it's never treated me wrong.",pn3NGJP8X6SqWQAiN7DM5w,3.0,2012-03-08 01:53:07,puijxB7XpTgp1fhaCxBcSg,2,2012-03-08 01:53:07
3642765,0,2,_iWhay20xcMknMSBwry3Xw,"I dreaded going and getting my new picture taken and put it off for months. Finally I went first thing on a Monday morning. When I walked in and picked a number, I was number 46 and they were on 43. I was in and out in about 10 minutes and the woman that took my photo was professional, kind and personable. This was an extremely positive experience and changed my perception of the process.",pn3NGJP8X6SqWQAiN7DM5w,4.0,2016-04-18 13:00:05,IbCZqWTWkp86qzDZMN3AvA,1,2016-04-18 13:00:05
3819311,7,2,C7cb9mEKgUFIvPR1gHUsDQ,"Where else can you sit for three hours to receive services...your taxes are paying for?  Why, the government of course.  They have you take a number like at the deli counter, and then you sit...and sit...and sit.  A plethora of signs say that you can't use electronic devices, including cell phones and ipads, while waiting, I think to intentionally cause more mental pain.  This is as close as I've ever come to gouging my eyes out with a meat thermometer out of sheer boredom.",pn3NGJP8X6SqWQAiN7DM5w,2.0,2013-05-31 18:35:49,8MrHNUT0QBpD5vHxn1rD2w,0,2013-05-31 18:35:49
3872562,2,0,sfTA1uJVoCHnbPfIdwybpA,"Avoid this place if at all possible. The staff is EXTREMELY rude / MEAN. Most of the employees only have high school degrees, and still have that mindset. They keep extra employees in the building so they can have each others backs in case a confrontation erupts. 

On the multiple occasions I've been there I've seen large confrontations from customers with the employees. The employees have a lot of attitude, and they chime into each others conversation if they overhear something that interests them. 

With me personally, they treated me with disrespect. I am a white male and most of the employees here are black, so I don't know, it may be a racial thing. One employee demanded that I ""Sit down!"" Another employee cut up my license I just showed them, and it was valid.

My advice is to keep to yourself, mind your own, don't look anyone in the eye, and only speak when spoken to in this place. Definitely look up answers to all your questions online, don't bother asking any of the employees.",pn3NGJP8X6SqWQAiN7DM5w,1.0,2016-02-24 00:44:25,oTtCSmUuuRgp0XWYqaejpw,0,2016-02-24 00:44:25
3906634,0,1,tP6mwOdUUv5hPSRroImRNA,Although I hate doing adult stuff I can honestly say that this was my best experience with state related requirements. The staff was very helpful and got me in and out in under 20 minutes. I wasn't expecting to be this satisfied with their service. Go to this location for all of your drivers license needs.,pn3NGJP8X6SqWQAiN7DM5w,4.0,2017-06-12 04:09:54,m6SZs9-UPweT1LpmUftIZA,0,2017-06-12 04:09:54
3915389,2,3,AlI0PkextFwFgvTx4oEKzQ,"Drove all the way out here midday on a Saturday, well within the published business hours on PennDOT's website, only to find the place closed. Tried in vain to find a way to call other driver's license centers to see if I could verify that they were open before making the trip, but PennDOT does not publish contact numbers for individual centers and only a convoluted and frustrating automated phone service is a available on weekends. Apparently there's no way to predict or verify whether a center will be open as advertised. Totally frustrating.",pn3NGJP8X6SqWQAiN7DM5w,1.0,2014-02-15 17:34:47,l2juSuzC9vcDTq0ncx5K1g,1,2014-02-15 17:34:47
