,funny,useful,review_id,text,business_id,stars,date,user_id,cool,datetime
16133,1,3,nLigls4s1uLffktPo72AhA,Very Professional.  Quickly loaded (I pre-boxed everything) and move my stuff.  Took care in packaging fragile items and always asked me regarding loading fragile items.,338D7EQfInzHV8Ve1b0-eQ,5.0,2015-12-22 18:31:58,5JLgVYJ6I7zv-12va3zp6w,0,2015-12-22 18:31:58
27006,0,0,MTtf-vWIgyz4fpzXw5-XUw,"We had Smooth Move come out and move our belongings from our old house to our new house. They were happy to stop by our storage unit on the way. They were very efficient, very fast, and very careful with all of our stuff. Highly recommend for anyone looking to move, they were awesome!",338D7EQfInzHV8Ve1b0-eQ,5.0,2016-12-20 19:25:52,lfQWQGKVYoN2a8RWjddqBQ,0,2016-12-20 19:25:52
37123,0,0,4_nBZcZ0Hvye24y6aoYGcQ,"Josh and Carlos, another successful move and another satisfied customer.  Came early and all about the business.  Appreciate that since they charge by the hour. Fast, efficient and priced right.  Would use them again if the need arises.",338D7EQfInzHV8Ve1b0-eQ,5.0,2017-04-09 18:25:11,ExB5vp30LPkU9ng56-3WXA,0,2017-04-09 18:25:11
42181,1,10,eg0OCOA-Q9pnjby_DBIkAQ,"About 3 months ago, we were looking for movers. I found these guys on yelp and hired them to help us move. They were very polite. The only problem is they took almost 7 hours to move a bedroom set, a bunk bed, a china cabinet and some boxes AND charged us $550 (to make 1 trip and it was less than 10 miles)!! My husband is a disabled veteran and was not able to move any of the furniture. They scratched and broke the frame of our $10,000 bed that we got brand new and was assembled in our house only 5 months before we moved. 
My husband called them a few days later when we started to notice all the scratches and dents on our bed frame and a side table that's been in my family for 15 years. They asked my husband to send pictures of the damages and he did. It's been over 3 months and still no word from these guys. I hired these guys cuz of the reviews on yelp. WTF happened??? I seriously feel like we got ripped the f*ck off! I'm really more mad about the fact that my husband tried to contact them about the damages and they never called back or even email back. Call me unreasonable but I would never hire these guys again or recommend them to anyone! Pictures of the damages are posted! ***UPDATE****
I get an email stating that my picture were REMOVED because they do not represent the business.. Really??? My funiture is damaged BECAUSE of their business. And when my husband tried to reach out to them about the damages, all they said was email us some pictures. Guess what???? HE DID!! Did they even call back? NOPE. It's been 5 months and still no callback, not even a letter. No worries. I will take it up with Channel 8 news and I'll have them investigate. Very unprofessional..",338D7EQfInzHV8Ve1b0-eQ,1.0,2014-06-28 21:39:19,kQ29IJkJxx2kTS1YLK8X-A,0,2014-06-28 21:39:19
43484,0,0,cb3XX9JObA9R8WjwZZ63gw,"I highly recommend these folks.  They moved my belongings swiftly and professionally.  This was the first time I hired movers and it was worthwhile.

They moved my second floor two bedroom apartment into a Pack Rat Storage unit.  They utilized every inch of space and built perfect box and item walls that were snug enough to prevent my stuff from shifting around when the storage pod was in transit.

Thanks guys!",338D7EQfInzHV8Ve1b0-eQ,5.0,2016-06-23 17:58:54,C9QPC4Qs1tIhHUeeLYXfig,0,2016-06-23 17:58:54
43835,0,3,4CXZ2i3iJR08PTsBuB0Hyw,"-WARNING!  DO NOT USE!-
No stars would be the correct rating!  Horrible!  Slow!  You want damaged furniture call these guys!  You want to save some money on the move DO NOT use this company.  Horrible customer service.  Will never use this company ever again. HORRIBLE!!!!!!!!!!!!!!!!!!!!!!!!!!!!",338D7EQfInzHV8Ve1b0-eQ,1.0,2014-06-28 21:59:36,WLaeSV8jpQ35rrqfjkVv-Q,0,2014-06-28 21:59:36
47524,0,0,82F-3PPp6BqsRviWLVXWyA,"These guys were awesome! Great rates, polite and efficient... They made my move easy and I highly recommend them.",338D7EQfInzHV8Ve1b0-eQ,5.0,2016-03-31 12:22:53,pDJtnhToQIcG8Tctyt6AbA,0,2016-03-31 12:22:53
51202,0,0,qvOdec_FHo1gYBuS0crXng,"I utilized this company yesterday. The two movers were clean cut professional and early. Super nice guys.  They moved everything super fast and placed the boxes in the various rooms as labeled which was a luxury.  Reasonable rates, professional reliable service.  I would definitely use this company again.",338D7EQfInzHV8Ve1b0-eQ,5.0,2016-12-05 15:51:24,omTGObgU_xjCwRger23DXw,0,2016-12-05 15:51:24
68962,0,5,orK2J8TIV-UOPLmlBoLIxA,"I have never written a review in my life. This is the first time I've ever felt the need to warn people. If this company is your only alternative, try again. I'm so disappointed. Tried to cancel 2 hours before my move, showed up with a uHaul that couldn't even fit everything, then cut out because they had another customer. What am I? I made a reservation too! NOT a smooth move by any means. Total truth. I've never even sent a steak back. That's how upset I am.",338D7EQfInzHV8Ve1b0-eQ,1.0,2014-06-29 02:30:09,l5KLtLz5M9En6OGCBoXyJg,0,2014-06-29 02:30:09
84022,0,3,2zS-JBQGUa67hNA1YLbOVA,"Pretty disappointing move. In fact, worst move I've ever been through - and I've even moved cross-country.

Two stars for showing up, almost, on time and working fairly quickly. Otherwise they did more harm than good.

Of the stack of furniture pads they brought with them, they only used one, underneath some boxes. They failed to wrap up any large pieces, and my desk was left banged up. Paint traded onto my antique trunk, and Daniel (I think?) tried to say it was they way we had it packed by our mattress in storage. OUR MATTRESS? Last I checked, we hadn't recently gotten it painted.. And the cherry on top, the freaking mattress was in plastic wrap! 99.98% sure it happened during the drive across town, especially cause we stood there watching them load up, and it was scuff-free at that time. Guys think maybe you should've used some of those furniture pads?

 When putting down our stainless steel tabletop, they scratched the hell out of a picture I had just bought. They didn't even have to lay a finger on it to screw that one up.

Now, of the two stars, they lost both of 'em when Eli promised he'd be back next-day to repair the frame. That is not the case, and he's unresponsive. I'd be amazed to see him come through. Pretty annoying though that he offered a self-done repair job. Any reputable company would offer REFRAMING COSTS.

And finally, almost the whole time Eli was playing some awful screamo music, without even running it by us first. Totally disrespectful and absolutely unprofessional, especially as the owner.

In short, I would recommended you NOT use this company.",338D7EQfInzHV8Ve1b0-eQ,1.0,2015-07-18 01:33:16,6AmQPUHvMaEbFI45UYXY8A,0,2015-07-18 01:33:16
104637,0,0,dBfDyGOxdM2--5lFaAtFaw,I just moved and used this company the second time. They do excellent job and so much more efficient than other moving companies that I tried in the past. I would definitely recommend them.,338D7EQfInzHV8Ve1b0-eQ,5.0,2016-06-26 05:38:38,gDbP4hbIjaAW-butyEC9BA,0,2016-06-26 05:38:38
107300,1,22,BHH76dBrwOqpWTl9R4e-xg,I stumbled across Smooth Move here in yelp the other day. I was completely panicked because I had just been stood up by some movers and needed to move out of my place ASAP! I must say im glad the other company never showed. The guys from smooth move we're AWESOME from the time they answered the phone and booked my appt until the last item was unpacked into my new home. I love that they were friendly and fast and inexpensive. They even fixed my bed for me! I would absolutely refer this company to EVERYONE I know.,338D7EQfInzHV8Ve1b0-eQ,5.0,2014-04-03 15:07:52,0j7ygEPgJfBxN26zHmkExA,2,2014-04-03 15:07:52
108916,1,3,kH3wxnf7TXKa8ZnMMB8YfA,"These guys were great - prompt, careful, and friendly. The cost was actually less than I had been quoted because they finished quickly. Will definitely use them again.",338D7EQfInzHV8Ve1b0-eQ,5.0,2015-09-30 00:00:29,QgRx5RzxLofNAwW_Cw15Yw,0,2015-09-30 00:00:29
