,funny,useful,review_id,text,business_id,stars,date,user_id,cool,datetime
868083,0,0,rKQJ06_u2DLVms0sgVmbIw,"If you need a hair stylist Amy is your lady!!! Amy was not only able to squeeze me into her schedule knowing how desperate I needed hair color she also did an amazing job! 

She consulted with her colleague to make sure she was providing me the best options for what I wanted done to my hair! 

On top of that she is easy to talk with and enthusiastic about being a hair stylist! 

I highly recommend her if you are looking for someone who will work with you!!",O1pacnAXufOMgR2jLK4cDA,5.0,2018-06-14 14:29:09,SgJtjejX5B4g_mnjT2_MpA,0,2018-06-14 14:29:09
927607,0,0,F9Fs3l0R7gaR5APSL5FW3w,Amy is one of the best hairstylists I have ever been to. I went to Pucci salon yesterday for a haircut/style and was very impressed with how much time she took to find out exactly what I wanted and to show me different ways I could style my hair on my own. She was very friendly during the haircut and I loved hearing her stories about being a celebrity stylist. I will definitely be returning. Thanks Amy!,O1pacnAXufOMgR2jLK4cDA,5.0,2013-09-15 21:45:25,k6gvXAf0gaQq03uV_g5DzQ,0,2013-09-15 21:45:25
998622,0,0,y7uMU3l3xqUD90nQXpPKWA,"Amy is great!  She styled my hair, as well as my bridesmaids' hair for my wedding and I couldn't have been happier!  

A few weeks before the big day, I had an initial consultation with Amy to discuss the style I wanted.  I brought a few pictures, but wasn't exactly sure of the look I wanted as I am very picky with my hair. Amy really took her time to listen to what I wanted (and didn't want) and she came up with the perfect style for my wedding day! 

On the day of the wedding, Amy arrived on time at our hotel and was ready to go! She really made sure all of my bridesmaids had a style they loved and took time to talk to each one about what they wanted.  Amy was so friendly and efficient, we even finished our hair early! I absolutely loved my wedding day hairstyle and received many compliments.  Not to mention, it stayed perfect all night long! 

I couldn't have been happier with Amy! She was friendly, professional, and truly a master at her craft.  I definitely recommend!",O1pacnAXufOMgR2jLK4cDA,5.0,2013-02-19 19:48:58,IAqoGaXo7HvoQp37kOVdaw,0,2013-02-19 19:48:58
1132935,0,0,iH3ybYmuASHRKnQ2ICkWVg,"Amy is incredible!! She took be from a blue black hair color to a beautiful brown, without damaging my hair!! She is the best!!! 

I'm also a professional makeup artist and I've worked with Amy on several projects including everything from weddings to magazines. Her work is impeccable. She is a professional in every way. You can count on her to deliver whatever you can dream up!

I highly recommend her!!!",O1pacnAXufOMgR2jLK4cDA,5.0,2013-02-13 17:05:45,7YYYllAR_eG-xVsXFJvBQA,0,2013-02-13 17:05:45
1142720,0,0,0Kgv-XEk5YXu2eGJDl-Pzw,"Amy has been doing my hair for over five years and she is amazing!  She has given me everything from a basic trim to a complete style change to short hair, so I can say her cutting and styling skills are fantastic.

As a colorist, Amy really delivers.  I often like to go darker in the winter and lighter in the summer.  Amy changes my color gradually with the seasons, making sure my color is never boring and that my hair remains in great condition.

Ask her about the Ultimate Treatment!  Your hair will thank you for the deep conditioning.",O1pacnAXufOMgR2jLK4cDA,5.0,2013-02-10 17:26:07,bq-ErLaPp3wE-K3o9oisiQ,0,2013-02-10 17:26:07
1427953,0,0,KBpZLoNk6ThbjF06QURaWQ,"Georgia has consistently provided expertise in cut and color. She is easy going and always gives great recommendations when explaining the look you desire. I love that she takes her time, will not double book (rare in this business) and makes you her first priority during the appointment. Lovin my latest do, back to dark brown with caramel balage, shiny and gorgeous! Ready for fall!",gPxoK-31HK-IRc4WAX7kxw,5.0,2015-10-08 02:59:09,cRlq637RKc8tzeMqYIWIvg,0,2015-10-08 02:59:09
1467064,0,3,h8QA1z_2kfimAe3uZeLvUQ,"If you want the best hair  you gotta go to Georgia. She knows all the latest trends and techniques, uses the best products. I have been going to her for about 2 years and I always leave the salon feeling beautiful. She fixed the mistakes of other stylists and I will never let anybody else touch my hair.",gPxoK-31HK-IRc4WAX7kxw,5.0,2015-11-21 17:58:56,1kzFGaw2_UOV09Adfi_tyA,1,2015-11-21 17:58:56
1507842,0,0,5RtYeE7GGUJhxh0y2dq9oQ,Georgia not only does the best coloring and cut in Las Vegas....but she is an awesome person to boot! She is very accommodating and always tries to squeeze me in even when I call her with only a few days notice. Have been to many stylist in Las Vegas but finally found one I really like. Your the best Georgia!,gPxoK-31HK-IRc4WAX7kxw,5.0,2015-11-09 06:53:04,lX4OTng8JB_KGGoG3lCyyA,0,2015-11-09 06:53:04
1687816,0,2,WhFKkinUvy49N_B57u2KZw,"I've been going to Georgia for Yuko hair straightening for over 6 years. Coming from Southern California, where Japanese hair straightening is very common, to Las Vegas, where it's unheard of (especially 6 years ago), I was lucky to find Georgia. She does a great job, every time.  She varies the length of time the product is on different parts of my head to treat the extra curly hair in the back of my head and just the frizz in the front.  My hair ends up straight and beautifully shiny after treatment.  I can walk out of the shower, comb my hair and be done with it.  It drip dries looking like I blew dry and flat ironed it.  She really knows her straightening and continues to get advanced training and learns new techniques.  And she is a very warm, fun person and it's always nice to see her when I go in, every 9 months or so.  I highly recommend Georgia.",gPxoK-31HK-IRc4WAX7kxw,5.0,2014-07-24 02:12:22,mBo7JqLABYDnkEKyT4BYFw,0,2014-07-24 02:12:22
1786067,0,1,9gKyrtFvN1us6vA1uKtN0Q,"Well, a few years of coming to her for my ridiculous hair needs, i have to say that she is one of the only people in Vegas at this level who knows what shes doing. She is truly a miracle worker. 

I've gotten the Japanese straightening treatment from her twice, and both times shes been exactly on schedule (or ahead of it) and has been the ideal conversationalist. Love the girl! 

I'll continue to recommend her to anyone who wants something absolutely great looking with the best service I've found in Vegas. Never leave Georgia!",gPxoK-31HK-IRc4WAX7kxw,5.0,2016-04-07 06:10:57,YeGgQ7O6afFX7QbFJe1lmQ,0,2016-04-07 06:10:57
