,funny,useful,review_id,text,business_id,stars,date,user_id,cool,datetime
2161750,0,2,bzv2_kF3eD3ote6jySvPAw,"These guys are awesome! I'm a busy mom with a toddler (hence the broken screen), and he came right to me at my own convenience. He even called when he was on his way. 15 minutes later my phone looked brand new. The flat rate was totally reasonable and guy was super nice. I'll recommend them to everyone!",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-02-11 03:00:29,JxAkCsRybVcJLR4pDYZ2ww,0,2017-02-11 03:00:29
2215768,0,2,cBh2QHRXSUaGnIfoWPr-Vw,I absolutely love them! I completely shattered my phone along with damaging my LCD and they came to me on time after I made an appointment online for the next day. All of the guys are super nice and it only takes 15 minutes to fix! Best service I have gotten in awhile thank you again!!,DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2016-11-14 19:28:37,Rs0iJ8nI5SkMIxdaBoR7gA,0,2016-11-14 19:28:37
2219469,0,1,TsMQORRJo3KLeV2DmoJBRA,Awesome! Super professional and efficient. Arrived right on time and took about 10 minutes to fix bent phone and cracked screen! Will definitely use this company again and refer to everyone.,DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-06-11 16:33:08,CGjURztGBF0z0Uxq-I1QVg,0,2017-06-11 16:33:08
2227881,0,1,Ocrnoae0NLA_LGRZyCKByA,"These guys did a wonderful job! They were on time, incredibly friendly and fixed my screen fast. I have two kids, work full time and I don't have a lot of time to go to a store to get my repaired or wait around all day for someone to show up. I will definitely be recommending their service to many of my fiends.",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-03-29 19:20:37,oqwSCVYg936caHRZAz4xlg,0,2017-03-29 19:20:37
2308896,0,1,WTS7c024SwX_M2sPjuqvJA,"Very happy with the service.  Super easy to schedule the appointment online.  The technician was very nice and pleasant to talk to.  Fixed my cracked screen in no time, looked absolutely brand new.  Phone works and looks perfect again.  Extremely happy with the service and price.  Highly recommended.",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-09-14 08:01:26,v773wDDKgOP5LU4vYmw7CA,0,2017-09-14 08:01:26
2320483,0,1,tPz-rVF34tTtb-b7JhWxeg,Cracked my I Phone 6 for the first time in 2 years and this company was so quick and reasonable I would definitely recommend them to friends and family!!!!  I got a text 30 mins before arrival and the guy that showed up was very professional and quick my phones like new and I couldn't be happier.,DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-04-13 22:47:15,Vna-pXytzIfIH2TyhihLhA,0,2017-04-13 22:47:15
2353104,1,2,GfTENl4Z-s-YQu6AESL9nA,"I cracked my iPhone glass at 1:45PM this afternoon. I went online to http://www.phxphonesavers.com/, made an appointment for this afternoon and Dave from Phone Savers drove to my house and had it replaced by 4:12PM. Dave was fast, extremely polite, very professional and friendly and the service was less expensive than the bigger brick and mortar chains I had used before. I highly recommend Dave and his team to replace any cracked phone glass. If I crack my screen again, I'll definitely set another appointment right from the website for them to come to me. They make it so easy! Thank you!",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2018-01-31 00:18:01,zBDdrzuyQ6Iqn1sUTohyzg,1,2018-01-31 00:18:01
2389794,0,0,FOJDLhYg5nH3m57M3GiFMg,Awesome! Super professional and efficient. Arrived right on time and took about 10 minutes to fix bent phone and cracked screen! Will definitely use this company again and refer to everyone.,DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-05-25 21:52:11,CGjURztGBF0z0Uxq-I1QVg,0,2017-05-25 21:52:11
2403485,0,2,AlmqITxMDiP_XdH_EiHO2A,"I had a great experience with these guys yesterday.  I was having some issues with my phone where the display was acting really weird.  I posted something on facebook asking for recommendations of someone that would fix it.  I got back a couple of responses but wasn't thrilled about any of them because of either distance or price.  A coworker recommended I look on Craigslist so I checked there and there were several options and I called either 5 or 6 of them.  I got a hold of three of them and they were all less expensive than the recommended ones I got from Facebook.  The cheapest option I found was for $65 but I had to take it them and they were about 12 miles away. Then I called Phone Savers and I'm glad I did.  They were only $70 and they came to me.  They had an open time slot about 90 minutes after I called and he told me they were very punctual so I should be aware.  He actually showed up about 10 minutes early which was nice.  I showed him what my phone was doing and he thought it just needed a new lcd digitizer or something like that.  Another great thing is that when I explained what was going on over the phone he said it could probably be about 3 different things but most likely the digitizer.  But he said that if he got out here and put in the new digitizer and screen still didn't work then there wouldn't be a charge.  I figured I didn't have anything to lose.  Anyway, he came out, sat in his car for about 15 minutes and then it was done.  There was even a deal going on on Yelp where you could buy a $20 credit with them for $10 so I actually only paid $60.  So, they came to me, fixed it perfectly and it only cost me $60.  I couldn't be happier and would highly recommend them.  Thanks Dave.",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2016-08-10 14:31:54,oa7YC_74PgJwqlvyXns6fw,0,2016-08-10 14:31:54
2446729,0,0,qlAmFD7bLkmV4XHWifhOvw,So easy almost too good to be true. Phone was fixed in 15 minutes and cheaper than most drop off places I called.,DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2018-09-18 20:34:43,zNueJcTggXZZXAYqhue1vg,0,2018-09-18 20:34:43
2472502,0,0,QYtnBSCMaqDc1-zYcAQqvA,By far the most affordable iPhone screen repair I've found! Excellent customer service. They came to me and fixed my phone in 15 minutes. Highly recommend them to anyone!,DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2016-09-02 03:39:22,mb17ZoCYeTauQEM7SK1DIQ,0,2016-09-02 03:39:22
2475462,0,1,GvNyXtJuKBFRgoGDctlueg,"This seemed a little too good to be true, but I just dropped my phone yesterday and the screen was AWFUL. I searched around for a service and found this company on Google search after making an appointment with UBreak iFix. I decided to check it out because the screen was awful, they offered the repair for $80 AND they advertised that they would drive to you.

DID NOT DISAPPOINT. The guy was 10 minutes early (I received an email and a text message 30 minutes before my scheduled appointment), he was extremely professional and easy to talk to, had all the parts in his car, and allowed me to stand and watch him while he repaired the phone. You also get a 90-day warranty on any damage that excludes dropped damage, and there's no tax or tip expected. He was done with the full repair and testing in 15 minutes. Highly reccomended!",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-12-01 22:39:08,OGMT9AFPZy_2hfiNCBW3ww,2,2017-12-01 22:39:08
2485725,0,2,7rBymDHuk12D20F2Nk4-uQ,"My son cracked his screen of his iPhone 5s and was pretty upset. We used PhoneSavers to repair it as a birthday present and he was thrilled. Really quick service, super convenient and very professional. Would definitely recommend.",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-04-15 23:43:01,4qImynur8A_7-KqeBy4etw,0,2017-04-15 23:43:01
2535355,0,1,xF4mx55EWTc1AKUW2GU7RQ,"They are awesome! Quick and easy, and they come to you! Which is very convenient and at an affordable coat",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-03-24 17:18:03,9A64FVQt4d9eyzOsZe25DQ,0,2017-03-24 17:18:03
2553105,0,0,IsC_9sTpylOzT6fGQLoYFA,Can't say enough wonderful about this service.  They come to me!  Phone was repaired in a matter of minutes!  Was less expensive than any store I could have gone to!  Will definitely use them for phone fixes in the future.,DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2019-06-14 00:05:25,5eBS5wIqxP_7l8ggOJkgNA,0,2019-06-14 00:05:25
2575507,0,0,qZlS_BU6FBdupsVTxqZBpg,They fixed our iPad screen for a decent price and quick turn around. We would go here again for another repair if needed.,DCQ3qzzmsm1JZxvW8-bCgQ,4.0,2019-08-08 17:58:54,uFdAhB0HFoR0VazoylM7Kw,0,2019-08-08 17:58:54
2654618,0,1,gxBzSBJc2oaizNd1or3v8Q,"They went to my job, 15 min my phone was fixed loved it reasonable price and got a free tamper glass",DCQ3qzzmsm1JZxvW8-bCgQ,5.0,2017-03-08 02:37:00,sQabsSFmLzfKn90nVpU7kA,0,2017-03-08 02:37:00
3807574,0,1,i97fyOfcUriFNfUuP95YSA,"Explained what I was looking for sold me the wrong thing. Explained why i was looking for it. The sales rep still teied to sell me something else! She didnt give me a receipt and there was no one around besides the two ladies in front. The sales reo told me thay what i was buying could be refilled. It was only a refill itself. Ten min aftwr leaving i found out and called. Manager insisted he watched entire tramsaction and was there the whole time. No one was near us at all! I tried to explaon it had been ten min i needed to exchange. He told me i could come in and buy a pen. I explained i wasnt going to put out more money and i had been falsely informed. He didnt even respind when i asked to exchange, he ignored me anf kept talkiNH about his emplyee being correct! Im not sure why! Manager ignored my requests. Manager kept insisting his employee gave me good info. I was completely disgusted! I wasted $30! Won't be back!",ZWt__3MBepCHn-lCo9sTCQ,1.0,2017-05-02 00:55:03,cv_MB2whtqOpmCUhbmFUkw,1,2017-05-02 00:55:03
3831958,0,0,n43rF2sOg0yoCWRdEdS5jA,"This is a pretty good place to shop as long as you don't want flower. Their flower is dry and falls apart with the slightest touch. Some people may want their flower dry but I prefer it a little on the sticky side. The THC content was really good and the effects were more than adequate, it's just too dry for my taste. That's why I gave it a 4 star. Everything else about the place is 5 star without a doubt. They have plenty of edibles and concentrates and this is where I'll go for those. The staff are super friendly and helpful and customer service is top notch. I will be back, just won't buy any flower from here.",ZWt__3MBepCHn-lCo9sTCQ,4.0,2018-06-22 01:57:05,hBQ_mWRBxvWCdw50DxAgzw,0,2018-06-22 01:57:05
