,funny,useful,review_id,text,business_id,stars,date,user_id,cool,datetime
13769,0,0,sN-SkGciMvLZkEwOJbSBFA,"Very Clean Store and Friendly. They allow Rescue and Shelter to do fundraiser, and help them out. Love how they support the local dog community. The store small compare to most, but still ahs a lot to offer. They do have a glomming station, fish, small animals and reptile",NDDLfHEx3FYEPsb0OSfttw,4.0,2014-03-14 18:40:25,TK8sQsfjKfYxcdKVDIkx6w,0,2014-03-14 18:40:25
50945,0,0,ZBqp-Q1L4teh5zn3kf9-Nw,Went here looking for aquarium and info about fish.  The service I received was excellent.  Staff was helpful and attentive.  Very knowledgeable and accommodating.  Store was crowded but I was impressed by the cleanliness.  A return shop for sure.,NDDLfHEx3FYEPsb0OSfttw,4.0,2015-11-22 18:21:34,8ib44rbZyBmLEUvQnUzb0w,0,2015-11-22 18:21:34
137643,0,1,55TFFtXPOOx8iyN3f4RAjQ,"Reading the reviews on here is very interesting, as I've had nothing but good experiences here since I received my first tattoo at the old location over 15 years ago (and still hasn't needed a touch up). This place takes pride in its cleanliness and work. When I went for my third tattoo at a shop in Philadelphia (which I do NOT recommend) I returned here. Luke was my artist and a friend was so impressed with him, she got some color shading on a previous tattoo she received elsewhere (same place in Philly). I have plans to return in the fall to have him ""disguise"" another tattoo I have. I also plan to get a piercing...I hear Rachel is phenomenal. In summary, this place is clean and comfortable, professional and they do excellent work, while treating you like a nice person...all for very reasonable prices! To the one girl who wrote a bad review recently, my friend and I are white and had to pay upfront. I didn't have a problem with it and understand that any business who wants to protect themselves from ""shady"" characters absolutely has the right to do so.",UQq4cdhjof93tuRyDm9-SQ,5.0,2015-06-25 13:17:31,H-svpbTpPs-07CkfVUSGyQ,2,2015-06-25 13:17:31
216480,0,0,Q0MSVg80GHo1Xc7bAjwi4A,"Just amazing work and artists! The place is very clean and our artist made sure to let us know before we even started that her tools were all new and clean, etc (which definitely Max eme feel better). Leah did my first and didn't fuss when I mentioned I wanted it on my ribs (even tho my fiancé sure did cause it's my first). And she did his two which he loves! She has such a steady hand and was great to talk to. Thank you Leah for making us feel comfortable in your space. Will be sure to come back if I ever decide to get another and I'm sure the other will as well. I absolutely recommend this place to anyone.",UQq4cdhjof93tuRyDm9-SQ,5.0,2018-03-23 03:25:35,zx2OVgq3OLPVDroq8XSzmQ,0,2018-03-23 03:25:35
329829,0,0,ZzoM-lZBh6A0tbPWCVQSEA,They did not have much to choose from for rabbit supplies.  I would have expected a large chain store to have a better selection for small animals.  The store could have been cleaner as well.,NDDLfHEx3FYEPsb0OSfttw,3.0,2014-07-11 04:16:45,7-B__tcJXuBmdlI_dko-uQ,0,2014-07-11 04:16:45
378240,0,0,YLR7U1x1_WQaqYOUVde2IQ,"We had a really nice experience at Petco today, when our dogs met Santa.  It was a hoot.  The employees were patient and tried to capture a perfect picture, which they did.  The proceeds benefit a local  cat rescue organization.  I shopped for and found great dog toys, but was not impressed with the dog bed selection.  They have live fish, small pets and reptiles.  Tons of pet foods for all animals.  Cute gifts for the holidays too.",NDDLfHEx3FYEPsb0OSfttw,4.0,2019-12-08 02:41:37,i-F7UDrmMhQtNcLK59aA_Q,0,2019-12-08 02:41:37
500241,0,0,GYX8VwUgYMT0Vik2CzICqg,"Got a tattoo done here by Myke awhile back, there was no consultation beforehand leading me to get a tattoo not done how I want. Whatever, the worst part was when I went back for a touch up (half the tattoo had faded significantly) myke didn't stand by his work, pretended to not know me initially, then said I would have to pay for the touch up. He tried to justify this by saying it's ""supposed"" to look like that. Like my tattoo is supposed to be halfway faded with some pieces scabbed off. I said he told me touch ups are free to which he responded ""I have bills to pay too, I have to charge, or you can schedule to get another tattoo and I'll touch it up then"" as if I would ever get another tattoo by him. Ended up having another artist touch it up/fix it. Now I'm getting the whole thing covered up ‍",UQq4cdhjof93tuRyDm9-SQ,1.0,2019-03-07 19:55:59,PQjLWXxsDsZcIOhDS8LPCQ,0,2019-03-07 19:55:59
507398,0,0,ZZFqm6Pqdg5mmypwBcJ4zQ,"This was the only tattoo shop that made my fiancé, his 2 brothers and I pay first, which is very disrespectful and in my opinion was completely racist... My fiancé and his brothers are black and I'm white... There was an older white couple who was in there when we arrived, and they paid after the work was done, yet we had to pay before hand. The artist that did my fiancé's angel wing on his neck, shaved the back of my fiancé's neck and took off more hair than necessary which caused my fiancé to break out. It was funny though because I (who am white) was treated with more respect than the men I was with. The experience was the worst I've ever had, my fiancé agrees and he has been in 10+ shops within an hour radius and has 30+ tattoos. Also, my fiancés brother and I had both gotten a soda there, which each cost $1, they kepty fiancés brother's dollar yet gave back mine... Hmmm... I found this while doing some research.. ""Normally, in respectable tattoo shops, payment is due when services are rendered.  This means you pay when the session is finished, not before it has begun.  Large tattoos are paid for session by session, so you only pay for the work that was performed that day. (any shop that demands payment before the tattoo is done is probably accustomed to working with a shady clientele who are often trying to run out without paying.  This may mean that you are in a shady tattoo shop.  If you are shady yourself, or are okay with getting tattooed in a shady shop, stay put and carry on.  If you don't want to be tattooed in a shady shop, you might want to leave at this point)."" I would NOT recommend going to this shop",UQq4cdhjof93tuRyDm9-SQ,1.0,2015-03-30 04:10:18,hZajiC3FN2LSjGQOtg_G0A,0,2015-03-30 04:10:18
534534,0,0,lthSpxxbfMWT3E4vbWZOGQ,BEST tattoo place in the area.  Professional and talented staff.  Clean and creative.  They have done 2 large pieces for me and I get compliments on them all the time!,UQq4cdhjof93tuRyDm9-SQ,5.0,2013-07-20 19:12:51,2yKV-K1qGcuYZ7xkXp8K8A,0,2013-07-20 19:12:51
557501,0,0,_DapQ9lCDZ4R8W_kMlsNYA,"I got my first big tattoo here by Brian and at first I thought it was a little pricey, but the result is worth it. It is probably one of the prettiest tattoos I've ever seen and I get complements on it at least 3 times a day. Definitely am coming back for another one in the near future.",UQq4cdhjof93tuRyDm9-SQ,5.0,2017-08-31 00:40:43,pUI56d85AFb_JkrYdAZNQw,0,2017-08-31 00:40:43
587399,0,0,BgsHdsqLWu30uBPF6SpFKg,Been going to Wizards zone for a long time and recently in and out of the shop getting a 3/4 sleeve - cover up done by Mike Maldonado. The guy is amazing and his artistic capability is second to none... I look forward to the end of every session just so I can see the results of his work .. everyone else in the shop is super friendly and I wouldn't think of going anywhere else.,UQq4cdhjof93tuRyDm9-SQ,5.0,2016-12-09 22:46:58,260YTp9UOiBkI54m1xmw0A,0,2016-12-09 22:46:58
615580,0,0,Q5Rrzu03nmCG2GDyLd1INA,"Another visit, and another awesome tattoo from John Howie!  He took my idea and again blew away my expectations.  I couldn't be happier with the tattoo, the line work and colors are great and the price was more than reasonable which was an added bonus.

The shop continues to be a clean, friendly, and organized place as well.  I highly recommend stopping in to check the place out.  Thanks again John!",UQq4cdhjof93tuRyDm9-SQ,5.0,2012-08-23 17:02:35,G7mwiMt8O54z2Rl9smlW_Q,0,2012-08-23 17:02:35
